species_ch,species_en,assemble,authority,gene_id,gene_name,download_url
ÂÌÍ·Ñ¼,Anas_platyrhynchos,BGI_duck_1.0,public,ENSAPLG00000016450,RETSAT,ftp://ftp.ensembl.org/pub/release-74/fasta/anas_platyrhynchos/dna/
Òâ·ä,Apis_mellifera,Amel_4.5,public,GB40045,null,ftp://ftp.ensemblgenomes.org/pub/metazoa/release-24/fasta/apis_mellifera/
Âû»¨Éú,Arachis_duranensis,v1.0,public,Aradu.VIL8H,null,http://peanutbase.org/files/genomes/Arachis_duranensis/
Å£,Bos_taurus,UMD3.1,public,ENSBTAG00000048317,null,http://www.ensembl.org/Bos_taurus/Info/Index
ÓÍ²Ë,Brassica_napus,v4.1,public,BnaUnng05330D,null,http://www.genoscope.cns.fr/brassicanapus/data/
´ó°×²Ë,Brassica_rapa,v1.5,public,Bra041174,null,ftp://brassicadb.org/Bra_Chromosome_V1.5/
ÈÞÉ½Ñò,Capra_hircus,GCA_000317765.2_CHIR_2.0,public,GENE_017577,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317765.2_CHIR_2.0
°åÀõ,Castanea_mollissima,v1.0,public,maker-scaffold04951-snap-gene-0.17,null,http://www.hardwoodgenomics.org/chinese-chestnut-genome
Î÷¹Ï,Citrullus_lanatus,97103v1,public,Cla023486,null,ftp://www.icugi.org/pub/genome/watermelon/97103/v1/
³¤ÄµòÃ,Crassostrea_gigas,v9,public,CGI_10028939,null,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100030/
Ìð¹Ï,Cucumis_melo,v3.5.1,public,MELO3C001915,null,https://melonomics.net/files/Genome/Melon_genome_v3.5.1/
»Æ¹Ï,Cucumis_sativus,ChineseLong_v2,public,CsaUNG034390,null,ftp://www.icugi.org/pub/genome/cucumber/Chinese_long/v2/
°ßÂíÓã,Danio_rerio,Zv9,public,ENSDARG00000095780,NLRX1      (7 of 39),ftp://ftp.ensembl.org/pub/release-62/fasta/danio_rerio/
Ô­¼¦,Gallus_gallus,Galgal4,public,ENSGALG00000026228,null,ftp://ftp.ensembl.org/pub/release-75/fasta/gallus_gallus/
ÃÞ»¨,Gossypium_hirsutum,TM-1_v1.1,public,evm.TU.Gh_Sca288207G01,EVM%20prediction%20Gh_Sca288207G01,http://mascotton.njau.edu.cn/info/1054/1118.htm
ÖÇÈË,Homo_sapiens,GRCh38,public,ENSG00000198727,MT-CYB,ftp://ftp.ensembl.org/pub/release-80/fasta/homo_sapiens/
ÔæÊ÷,Ziziphus_jujuba,version2_13chr,public,CCG020785,null,
Æ»¹û,Malus_x_domestica,v1.0,public,MDP0000950691,null,http://www.rosaceae.org/species/malus/malus_x_domestica/genome_v1.0p
ÝðÞ¼ÜÙÞ£,Medicago_truncatula,MedtrA17_4.0,public,MTR_2177s0010,null,ftp://ftp.ensemblgenomes.org/pub/plants/release-28/fasta/medicago_truncatula/dna/
Ð¡Êó,Mus_musculus,GRCm38,public,ENSMUSG00000104463,Mat2a,ftp://ftp.ensembl.org/pub/release-78/fasta/mus_musculus/
ÃàÑò,Ovis_aries,Oar_v3.1,public,ENSOARG00000002064,null,ftp://ftp.ensembl.org/pub/release-78/fasta/ovis_aries/
ÖÐ»ª±î,Pelodiscus_sinensis,PelSin_1.0,public,ENSPSIG00000020346,GHRL,http://asia.ensembl.org/Pelodiscus_sinensis/Info/Index
´óÊó,Rattus_norvegicus,Rnor_5.0,public,ENSRNOG00000051344,G6PC,ftp://ftp.ensembl.org/pub/release-78/fasta/rattus_norvegicus/
·¬ÇÑ,Solanum_lycopersicum,SL2.40,public,Solyc12g100360.1,EMB80,ftp://ftp.ensemblgenomes.org/pub/plants/release-25/fasta/solanum_lycopersicum/
ÇÑ×Ó,Solanum_melongena,SME_r2.5.1,public,Sme2.5_33859.1_g00001,null,ftp://ftp.kazusa.or.jp/pub/eggplant/
ÍÁ¶¹,Solanum_tuberosum,v4.03,public,PGSC0003DMG400033531,Gene of unknown function,http://solanaceae.plantbiology.msu.edu/pgsc_download.shtml
¸ßÁ»,Sorghum_bicolor,Sorbi1,public,Sb0351s002020,null,ftp://ftp.ensemblgenomes.org/pub/plants/release-25/fasta/sorghum_bicolor/
¸ßÁ»,Sorghum_bicolor,v2.1,public,Sobic.K044300,null,ftp://ftp.jgi-psf.org/pub/compgen/phytozome/v9.0/early_release/Sbicolor_v2.1/
Ò°Öí,Sus_scrofa,Sscrofa10.2,public,ENSSSCG00000031069,DEFB133,ftp://ftp.ensembl.org/pub/release-75/fasta/sus_scrofa/
Ò°Öí,Sus_scrofa,Sscrofa10.2_ncbi,public,gene9997,LOC102159576,ftp://ftp.ncbi.nlm.nih.gov/genomes/Sus_scrofa/
ÓñÃ×,Zea_mays,B73_RefGen_v2,public,GRMZM5G897755,null,ftp://ftp.ensemblgenomes.org/pub/plants/release-10/fasta/zea_mays/dna/
ÓñÃ×,Zea_mays,B73_RefGen_v3,public,GRMZM5G827556,null,ftp://ftp.ensemblgenomes.org/pub/plants/release-24/fasta/zea_mays/
Ã«¹ûÑî,Populus_trichocarpa,v3.0,public,Potri.T182100.v3.0,Potri.T182100,http://phytozome.jgi.doe.gov/pz/portal.html#!search?show=KEYWORD&method=Org_Ptrichocarpa
ÆÏÌÑ,Vitis_vinifera,IGGP_12x,public,VIT_19s0176g00140,null,"ftp://ftp.ensemblgenomes.org/pub/plants/release-25/fasta/vitis_vinifera/,ftp://ftp.ensemblgenomes.org/pub/plants/release-25/fasta/vitis_vinifera/"
ºËÌÒ,Juglans_regia,v1.0,public,WALNUT_00032018,null,
ÑÇÖÞÃÞ,Gossypium_arboreum,v1.0,public,Cotton_A_41330,null,
º£µºÃÞ,Gossypium_barbadense,v1.0,public,Gbscaffold6990.1c,null,http://cotton.cropdb.org/cotton/download/data.php
ëàÊó,Cavia_porcellus,cavPor3,public,ENSCPOG00000027619,null,http://asia.ensembl.org/Cavia_porcellus/Info/Annotation
¸ÌéÙ,Citrus_sinensis,v1.0,public,orange1.1g044641m.g.v1.1,null,https://www.citrusgenomedb.org/species/sinensis/genome1.0
Å·ÖÞÔÆÉ¼,Picea_abies,Chr_v1.0,public,MA_9999990g0010,null,ftp://plantgenie.org/Data/ConGenIE/Picea_abies/v1.0/
Å·ÖÞÒ°ÍÃ,Oryctolagus_cuniculus,OryCun2.0,public,ENSOCUG00000029759,ZNF8,ftp://ftp.ensembl.org/pub/release-84/fasta/oryctolagus_cuniculus/dna/
Ìð²Ë,Beta_vulgaris,RefBeet-1.2,public,Bv_043091z9277,null,http://bvseq.molgen.mpg.de/Genome/Download/RefBeet-1.2/
Èý½ÇºÖÖ¸Ôå,Phaeodactylum_tricornutum,Phatr2,public,9989,null,http://genome.jgi.doe.gov/Phatr2/Phatr2.download.ftp.html
ÒÁÈø_Äð¾Æ½ÍÄ¸,Pichia_and_Saccharomyces,merged_v1.0,public,gene2007,null,
¼âæßÁ­µ¶¾ú,Fusarium_oxysporum,GCA_000149955.2_ASM14995v2,public,FOXG_22982,gene20339,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000149955.2_ASM14995v2/GCA_000149955.2_ASM14995v2_genomic.fna.gz
¸ÊÀ¶,Brassica_oleracea,v2.1,public,Bo03722s010,null,ftp://ftp.ensemblgenomes.org/pub/plants/release-25/fasta/brassica_oleracea/
Âí,Equus_caballus,EquCab2,public,ENSECAG00000027695,ND3,ftp://ftp.ensembl.org/pub/release-84/fasta/equus_caballus/dna/Equus_caballus.EquCab2.dna.toplevel.fa.gz
Ïã½¶,Musa_acuminata,v1.0,public,GSMUA_AchrUn_randomG29270_001.v1,null,http://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Macuminata
°×ÔÆÉ¼,Picea_glauca,PG29_v4.1,public,ABT39_MTgene1000,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000411955.5_PG29_v4.1/GCA_000411955.5_PG29_v4.1_genomic.fna.gz
À±½·ÒßÃ¹¾ú,Phytophthora_capsici,Phyca11,public,Phyca11_51284,null,http://genome.jgi.doe.gov/Phyca11/Phyca11.download.ftp.html
Ë®µ¾¶ñÃç²¡¾ú,Fusarium_fujikuroi,IMI58289_V2,public,FFUJ_02088,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_900079805.1_Fusarium_fujikuroi_IMI58289_V2
ÂÖ×´Á­µ¶¾ú,Fusarium_verticillioides,ASM14955v1,public,FVEG_09964,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000149555.1_ASM14955v1/
ºÚ¸¹¹ûÓ¬,Drosophila_melanogaster,BDGP6,public,FBgn0267795,CG32138,ftp://ftp.ensembl.org/pub/release-84/fasta/drosophila_melanogaster/dna/
¼Ò¶ì,Anser_cygnoides,GCF_000971095.1,public,gene20854,LOC106029729,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000971095.1_AnsCyg_PRJNA183603_v1.0/
ºÚÇúÃ¹,Aspergillus_niger,ASM285v2,public,CADANGAG00014366,An19g00420,ftp://ftp.ensemblgenomes.org/pub/fungi/release-25/fasta/aspergillus_niger/
À³ÒðÒÂÔå,Chlamydomonas_reinhardtii,v5.5,public,Cre52.g761647,null,http://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=PhytozomeV10
½º°ûÌ¿¾Ò¾ú,Colletotrichum_gloeosporioides,Nara_gc-5v1,public,CGGC5_14033,null,ftp://ftp.ensemblgenomes.org/pub/fungi/release-25/fasta/colletotrichum_gloeosporioides/dna/
½º°ûÌ¿¾Ò¾ú,Colletotrichum_gloeosporioides,Cg-14v1,public,gene9999,CGLO_11088,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000446055.1_Colletotrichum_gloeosporioides1
²ÝÝ®,Fragaria_vesca,v1.1,public,gene35233-v1.0-hybrid,null,http://www.rosaceae.org/species/fragaria/fragaria_vesca/genome_v1.1
´ó¶¹,Glycine_max,Wm82.a2.v1,public,Glyma.U045500.Wm82.a2.v1,null,https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax
¶«·½ÒÁÈø½ÍÄ¸,Pichia_kudriavzevii,v1.0,public,gene7106,JL09_g5093,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000764455.1_ASM76445v1/
ÂÌÅ§¼Ùµ¥°û¾ú,Pseudomonas_aeruginosa_PAO1,ASM676v1,public,gene133886,rpmH,http://www.pseudomonas.com/download.jsp
Î÷ÑóÀæ,Pyrus_communis,v1.0,public,PCP045217_v1.0,PCP045217,https://phytozome.jgi.doe.gov/pz/portal.html#%21info?alias=Org_Sitalica_er
ÂÜ²·,Raphanus_sativus,RSA_r1.0,public,Rsa1.0_76592.1_g00001,null,ftp://ftp.kazusa.or.jp/pub/radish/
¸ùÁö¾ú,Rhizobium_sp_h41,ASM75844v1,public,LW14_02010,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-25/fasta/bacteria_85_collection/rhizobium_sp_h41/
Äð¾Æ½ÍÄ¸,Saccharomyces_cerevisiae_S288C,R64-2-1,public,Q0297,null,http://downloads.yeastgenome.org/sequence/S288C_reference/genome_releases/
¹È×Ó,Setaria_italica,Setaria_V2,public,Si040851m.g,null,https://phytozome.jgi.doe.gov/pz/portal.html#%21info?alias=Org_Sitalica_er
